category,fy2011assesed_value_million,fy2011percentage_taxable_real_estate,fy2011_direct_tax_rate,fy2010assesed_value_million,fy2010percentage_taxable_real_estate,fy2010_direct_tax_rate,fy2009assesed_value_million,fy2009percentage_taxable_real_estate,fy2009_direct_tax_rate,fy2008assesed_value_million,fy2008percentage_taxable_real_estate,fy2008_direct_tax_rate,fy2007assesed_value_million,fy2007percentage_taxable_real_estate,fy2007_direct_tax_rate,fy2006assesed_value_million,fy2006percentage_taxable_real_estate,fy2006_direct_tax_rate,fy2005assesed_value_million,fy2005percentage_taxable_real_estate,fy2005_direct_tax_rate,fy2004assesed_value_million,fy2004percentage_taxable_real_estate,fy2004_direct_tax_rate,fy2003assesed_value_million,fy2003percentage_taxable_real_estate,fy2003_direct_tax_rate,fy2002assesed_value_million,fy2002percentage_taxable_real_estate,fy2002_direct_tax_rate,fy2001assesed_value_million,fy2001percentage_taxable_real_estate,fy2001_direct_tax_rate,fy2000_assesed_value_million,fy2000_percentage_taxable_real_estate,fy2000_direct_tax_rate,fy1999assesed_value_million,fy1999percentage_taxable_real_estate,fy1999_direct_tax_rate,fy1998_assesed_value_million,fy1998_percentage_taxable_real_estate,fy1998_direct_tax_rate,fy1997assesed_value_million,fy1997percentage_taxable_real_estate,fy1997_direct_tax_rate,fy1996_assesed_value_million,fy1996_percentage_taxable_real_estate,fy1996_direct_tax_rate,fy1995_assesed_value_million,fy1995_percentage_taxable_real_estate,fy1995_direct_tax_rate,display_order,highlight_yn,amount_display_type,indentation_level
 Class One,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,N,,5
   One Family Dwellings,6692.2,4.2,,6458.5,4.1,,6471,4.3,,6171.3,4.3,,5967.1,4.7,,5705.4,4.7,,5456.4,4.9,,5267.3,4.9,,5023.6,4.8,,4785.1,4.9,,4646.5,5.1,,4487.9,5.2,,4411,5.4,,4374.9,5.6,,4278,5.5,,4218.9,5.4,,4129.1,5.4,,2,N,,3
   Two Family Dwellings,5464.5,3.4,,5265.4,3.3,,5423.1,3.6,,5146.9,3.5,,4924.7,3.9,,4698.9,3.8,,4443.5,4,,4280.8,4,,4074.2,4,,3880.8,4.1,,3758.6,4.3,,3611,4.3,,3533.4,4.2,,3504.6,4.4,,3433.7,4.4,,3400.3,4.4,,3342.1,4.3,,3,N,,3
   Three Family Dwellings,1835.7,1.1,,1782.5,1.1,,1724.2,1.1,,1630.1,1.1,,1530.7,1.2,,1428.4,1.2,,1342.2,1.2,,1288.6,1.2,,1229.9,1.2,,1165,1.2,,1117.4,1.2,,1071.2,1.2,,1039.8,1.3,,1031.9,1.3,,1011.3,1.3,,998.7,1.3,,983.9,1.3,,4,N,,3
   Condominiums,235.9,0.1,,226,0.1,,209.8,0.1,,191.1,0.1,,174.1,0.1,,166.6,0.1,,182.9,0.2,,175.7,0.2,,162.1,0.2,,145.9,0.1,,135.8,0.1,,132.2,0.2,,127.3,0.2,,124.3,0.2,,121.3,0.2,,118.9,0.2,,114,0.1,,5,N,,3
   Vacant Land,141.5,0.1,,117.2,0.1,,111.7,0.1,,105.8,0.1,,101,0.1,,108.2,0.1,,107.7,0.1,,105.8,0.1,,107.2,0.1,,105.6,0.1,,107,0.1,,109.3,0.1,,110.8,0.1,,116.7,0.1,,120.8,0.2,,123.4,0.2,,122.4,0.2,,6,N,,3
   Other,582.9,0.4,,568.2,0.4,,15.5,0,,44,0,,15.1,0,,39.4,0,,14.4,0,,14.3,0,,14.6,0,,14.2,0,,13.7,0,,13.2,0,,12.5,0,,12.1,0,,11.6,0,,11.4,0,,10.8,0,,7,N,L,3
,14952.7,9.3,18.65,14417.8,9.1,17.08,13955.3,9.2,15.6,13289.2,9.1,15.43,12712.7,10,16.19,12146.9,9.9,15.75,11547.1,10.4,15.09,11132.5,10.4,14.55,10611.6,10.3,11.94,10096.6,10.4,11.95,9779,10.8,11.33,9424.8,11,11.35,9234.8,11.2,10.96,9164.5,11.6,10.85,8976.7,11.6,10.79,8871.6,11.5,10.73,8702.3,11.3,10.93,8,N,S,2
Class Two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,N,,5
   Rentals,24447.8,15.3,,24100.1,15.3,,24164.9,15.9,,23467,16.2,,19781.8,15.6,,19668.5,16.2,,17990.8,16.3,,17646.6,16.5,,17020.2,16.6,,15655.9,16.1,,14140.4,15.6,,12931.9,15.1,,12029.8,14.6,,11226.8,14.3,,10961,14.1,,10860.9,14,,10760.2,14,,10,N,,3
