fiscal_year,tax_levied,amount,percentage_levy,collected_subsequent_years,levy_non_cash_adjustments,collected_amount,collected_percentage_levy,uncollected_amount
1995,7889694447,7201967997,91.28,240752295,415746801,7858467093,99.60,31227354
1996,7871357765,7194744668,91.40,163194844,479871794,7837811306,99.57,33546459
1997,7835147663,7297034517,93.13,154966698,349792342,7801793557,99.57,33354106
1998,7890421829,7353064380,93.19,169101357,332843409,7855009146,99.55,35412683
1999,8099336484,7488637126,92.46,150876632,421980857,8061494615,99.53,37841869
2000,8374300959,7743207894,92.46,152244766,438019375,8333472035,99.51,40828924
2001,8730263712,8038251810,92.07,144084224,438019375,8681703663,99.44,48560049
2002,9271238485,8566566455,92.40,161506206,537347180,9265419841,99.94,5818644
2003,10816491397,9861848764,91.17,173164865,774308652,10809322281,99.93,7169116
2004,12250660984,11251868136,91.85,182989648,804073271,12238931055,99.90,11729929
2005,12720048530,11771497591,92.54,173152545,758344414,12702994550,99.87,17053980
2006,13668121226,12623034463,92.35,165959982,857835078,13646829523,99.84,21291703
2007,14291212164,13186988232,92.27,213825475,865124991,14265938698,99.82,25273466
2008,14356226836,13258952404,92.36,182725319,876068689,14317746412,99.73,38480424
2009,15327507366,14566333281,95.03,209050882,475779118,15251163281,99.50,76344085
2010,17588124488,16048855013,91.25,159130020,1224437080,17432422113,99.11,155702375
2011,18323689139,16840064758,91.90,,2044010044,18884074802,97.92,400473038
