fiscal_year,general_obligation_bonds,revenue_bonds,ECF,MAC_debt,TFA,TSASC_debt,STAR,FSC,SFC_debt,HYIC_bonds_notes,capital_leases_obligations,IDA_bonds,treasury_obligations,total_primary_government
1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,24992,132,0,4882,0,0,0,0,200,0,967,0,-1243,29930
1996,26627,126,0,4724,0,0,0,0,200,0,1068,0,-1122,31623
1997,27549,165,0,4424,0,0,0,0,200,0,1099,0,-391,33046
1998,27310,188,0,4066,2150,0,0,0,200,0,1141,0,-365,34690
1999,27834,150,0,3832,4150,0,0,0,160,0,1525,0,-299,37352
2000,27245,142,0,3532,5923,709,0,0,120,0,1803,0,-230,39244
2001,27147,134,0,3217,7386,704,0,0,80,0,1805,0,-168,40305
2002,28465,0,125,2880,8289,740,0,0,40,0,2298,0,-116,42721
2003,29679,0,117,2151,12024,1258,0,0,0,0,2211,0,-64,47376
2004,31378,0,107,1758,13364,1256,0,0,0,0,2346,108,-52,50265
2005,33903,0,135,0,12977,1283,2552,460,0,0,3044,106,-39,54421
2006,35844,0,84,0,12233,1334,2470,387,0,0,2925,104,0,55381
2007,34506,0,123,0,14607,1317,2368,337,0,2100,2832,102,0,58292
2008,36100,0,109,0,14828,1297,2339,321,0,2067,2025,101,0,59187
2009,39991,0,102,0,16913,1274,2253,304,0,2033,1937,99,0,64906
2010,41555,0,150,0,20094,1265,2178,294,0,2000,1859,99,0,69494
2011,41785,0,281,0,23820,1260,2117,282,0,2000,1895,98,0,73538
