Data_source_code,Data_source_name,document_type,document_name,record_identifier,record_type_name,staging_table_name,etl.archive_table_name,etl.invalid_table_name,Table_order,Data_source_order
A,COAAgency,,,,,etl.ext_stg_coa_agency_feed,,,1,0
A,COAAgency,,,,,etl.stg_agency,etl.archive_agency,etl.invalid_agency,2,0
D,COADepartment,,,,,etl.ext_stg_coa_department_feed,,,1,1
D,COADepartment,,,,,etl.stg_department,etl.archive_department,etl.invalid_department,2,1
E,COAExpenditureObject,,,,,etl.ext_stg_coa_expenditure_object_feed,,,1,0
E,COAExpenditureObject,,,,,etl.stg_expenditure_object,etl.archive_expenditure_object,etl.invalid_expenditure_object,2,0
L,COALocation,,,,,etl.ext_stg_coa_location_feed,,,1,1
L,COALocation,,,,,etl.stg_location,etl.archive_location,etl.invalid_location,2,1
O,COAObjectClass,,,,,etl.ext_stg_coa_object_class_feed,,,1,1
O,COAObjectClass,,,,,etl.stg_object_class,etl.archive_object_class,etl.invalid_object_class,2,1
V,FMSV,,,,,etl.ext_stg_fmsv_data_feed,,,1,1
V,FMSV,,,M,Business Type,etl.stg_fmsv_business_type,etl.archive_fmsv_business_type,etl.invalid_fmsv_business_type,2,1
M,MAG,,,,,etl.ext_stg_mag_data_feed,,,1,3
M,MAG,,,H,Header,etl.stg_mag_header,etl.archive_mag_header,etl.invalid_mag_header,2,3
M,MAG,,,W,Award detail,etl.stg_mag_award_detail,etl.archive_mag_award_detail,etl.invalid_mag_award_detail,3,3
M,MAG,,,V,Vendor,etl.stg_mag_vendor,etl.archive_mag_vendor,etl.invalid_mag_vendor,4,3
C,CON,,,,,etl.ext_stg_con_data_feed,,,1,4
C,CON,"CT1,CTA1",Contracts,H,Header,etl.stg_con_ct_header,etl.archive_con_ct_header,etl.invalid_con_ct_header,2,4
C,CON,"CT1,CTA1",Contracts,W,Award detail,etl.stg_con_ct_award_detail,etl.archive_con_ct_award_detail,etl.invalid_con_ct_award_detail,3,4
C,CON,"CT1,CTA1",Contracts,V,Vendor,etl.stg_con_ct_vendor,etl.archive_con_ct_vendor,etl.invalid_con_ct_vendor,4,4
C,CON,"CT1,CTA1",Contracts,A,Accounting Line,etl.stg_con_ct_accounting_line,etl.archive_con_ct_accounting_line,etl.invalid_con_ct_accounting_line,5,4
C,CON,"POC,PCC1,POD",Purchase order,H,Header,etl.stg_con_po_header,etl.archive_con_po_header,etl.invalid_con_po_header,6,4
C,CON,"POC,PCC1,POD",Purchase order,W,Award detail,etl.stg_con_po_award_detail,etl.archive_con_po_award_detail,etl.invalid_con_po_award_detail,7,4
C,CON,"POC,PCC1,POD",Purchase order,V,Vendor,etl.stg_con_po_vendor,etl.archive_con_po_vendor,etl.invalid_con_po_vendor,8,4
C,CON,"POC,PCC1,POD",Purchase order,A,Accounting Line,etl.stg_con_po_accounting_line,etl.archive_con_po_accounting_line,etl.invalid_con_po_accounting_line,9,4
C,CON,DO1,Delivery Order,H,Header,etl.stg_con_do1_header,etl.archive_con_do1_header,etl.invalid_con_do1_header,10,4
C,CON,DO1,Delivery Order,V,Vendor,etl.stg_con_do1_vendor,etl.archive_con_do1_vendor,etl.invalid_con_do1_vendor,11,4
C,CON,DO1,Delivery Order,A,Accounting Line,etl.stg_con_do1_accounting_line,etl.archive_con_do1_accounting_line,etl.invalid_con_do1_accounting_line,12,4
F,FMS,,,,,etl.ext_stg_fms_data_feed,,,1,5
F,FMS,,,H,Header,etl.stg_fms_header,etl.archive_fms_header,etl.invalid_fms_header,2,5
F,FMS,,,V,Vendor,etl.stg_fms_vendor,etl.archive_fms_vendor,etl.invalid_fms_vendor,3,5
F,FMS,,,A,Accounting Line,etl.stg_fms_accounting_line,etl.archive_fms_accounting_line,etl.invalid_fms_accounting_line,4,5
P,PMS,,,,,etl.ext_stg_pms_data_feed,,,1,5
P,PMS,,,,,etl.stg_payroll,etl.archive_payroll,etl.invalid_payroll,2,5
R,Revenue,,,,,etl.ext_stg_revenue,,,1,3
R,Revenue,,,,,etl.stg_revenue,etl.archive_revenue,etl.invalid_revenue,2,3
B,Budget,,,,,etl.ext_stg_budget_feed,,,1,3
B,Budget,,,,,etl.stg_budget,etl.archive_budget,etl.invalid_budget,2,3
RY,COARevenueCategory,,,,,etl.ext_stg_coa_revenue_category_feed,,,1,1
RY,COARevenueCategory,,,,,etl.stg_revenue_category,etl.archive_revenue_category,etl.invalid_revenue_category,2,1
RC,COARevenueClass,,,,,etl.ext_stg_coa_revenue_class_feed,,,1,1
RC,COARevenueClass,,,,,etl.stg_revenue_class,etl.archive_revenue_class ,etl.invalid_revenue_class ,2,1
RS,COARevenueSource,,,,,etl.ext_stg_coa_revenue_source_feed,,,1,2
RS,COARevenueSource,,,,,etl.stg_revenue_source,etl.archive_revenue_source ,etl.invalid_revenue_source ,2,2
BC,COABudgetCode,,,,,etl.ext_stg_coa_budget_code_feed,,,1,1
