data_source_name,file_name,consume_flag,pattern_matched_flag,processed_flag
COA - Agency,AID1_DLY_COA_DEPT_20110507013651_20110507041850.ASC,N,Y,N
COA - Agency,AID1_DLY_COA_DEPT_20110610015838_20110610041558.ASC,Y,Y,Y
COA - Expenditure Object,AID3_DLY_COA_OBJ_20110507013650_20110507041851.ASC,N,Y,N
COA - Expenditure Object,AID3_DLY_COA_OBJ_20110507013649_20110507041850.ASC,N,Y,N
COA - Expenditure Object,AID3_DLY_COA_OBJ_20110610015838_20110610041558.ASC,Y,Y,Y
COA - Department,AID2_DLY_COA_APPR_20110507013650_20110507041850.ASC,N,Y,N
COA - Department,AID2_DLY_COA_APPR_20100707013651_20100707041851.ASC,N,Y,N
COA - Department,AID2_DLY_COA_APPR_20110610015838_20110610041558.ASC,Y,Y,Y
FMSV,AIV2_MTHLY_VEND_20110910015838_20110910041558.ASC,Y,Y,Y
COA -Object Class,AIOC_DLY_COA_OCLS_20110910015838_20110910041558.ASC,Y,Y,Y
COA - Location,AID4_DLY_COA_LOC_20110507013650_20110507041850.ASC,N,Y,N
COA - Location,AID4_DLY_COA_LOC_20110610015838_20110610041558.ASC,Y,Y,Y
