FiscalYear,ClassOne,ClassTwo,ClassThree,ClassFour,LessTax ExemptProperty,Total TaxableAssessedValue,TotalDirectTaxRate(1),EstimatedActualTaxableValue,AssessedValue as aPercentage ofActual Value
1995,9034.5,29500.2,6129.3,93913.8,61770.7,76807.1,10.42,293008.6,26.21
1996,9219.3,29547.9,6140.2,93841.9,61325.7,77423.6,10.42,294069.8,26.33
1997,9329,29473.9,6370.8,93844.3,61508.7,77509.3,10.44,294379.3,26.33
1998,9525,30048.1,6548.9,94606.6,61958.3,78770.3,10.42,298357,26.4
1999,9979.2,31397.6,6512.5,97494.6,63229.2,82154.7,10.4,311368.7,26.39
2000,10463.8,33572,6619.5,100996.6,65783.9,85868,10.4,326921.8,26.27
2001,11094.1,35869.4,6320.5,105089.8,67804.1,90569.7,10.41,354348.4,25.56
2002,11610.7,39317.9,6530.8,110458.3,70431.3,97486.4,10.43,392347.6,24.85
2003,12064.4,42885.3,6836.1,114836.4,73917.5,102704.7,10.41,429810.4,23.9
2004,12611.3,40677.2,7021.6,122582,76102.5,106789.6,12.36,466677.7,22.88
2005,13149.5,46846.3,7488.7,122082.8,79250.9,110316.4,12.38,540384.4,20.41
2006,13841.3,52792,8600.1,129879,82630.8,122481.6,12.43,614003.7,19.95
2007,14402.2,55201.2,9176,139810.7,90953.1,127637,12.49,674091.6,18.93
2008,15025.6,62834.5,8822.5,158067.3,99164.1,145585.8,11.66,795932.4,18.29
2009,15753.1,64580.1,9686.3,173337.4,111358.3,151998.6,11.7,811141.3,18.74
2010,14712.2,56561.3,10462.8,88730.9,12514.6,157952.6,12.64,795657.3,19.85
2011,14952.7,55530.8,11036,78176.1,12882.6,159695.6,12.86,793742,20.12
2012,15293.9,60102.9,10875.3,85083.5,13408.8,157946.8,12.86,814422.1,19.39
2013,15784.7,62215.4,11349,89774.4,13809.3,165314.2,12.85,838003.2,19.73
