data_feed_table_name,data_feed_column_name,data_feed_data_type,staging_table_name,staging_column_name,staging_data_type,column_order
etl.ext_stg_mag_data_feed,doc_cd,varchar,etl.stg_mag_header,doc_cd,varchar,2
etl.ext_stg_mag_data_feed,doc_dept_cd,varchar,etl.stg_mag_header,doc_dept_cd,varchar,3
etl.ext_stg_mag_data_feed,doc_id,varchar,etl.stg_mag_header,doc_id,varchar,4
etl.ext_stg_mag_data_feed,doc_vers_no,varchar,etl.stg_mag_header,doc_vers_no,int,5
etl.ext_stg_mag_data_feed,col6,varchar,etl.stg_mag_header,trkg_no,varchar,6
etl.ext_stg_mag_data_feed,col7,varchar,etl.stg_mag_header,doc_nm,varchar,7
etl.ext_stg_mag_data_feed,col8,varchar,etl.stg_mag_header,doc_rec_dt_dc,date,8
etl.ext_stg_mag_data_feed,col9,varchar,etl.stg_mag_header,doc_bfy,int,9
etl.ext_stg_mag_data_feed,col10,varchar,etl.stg_mag_header,doc_fy_dc,int,10
etl.ext_stg_mag_data_feed,col11,text,etl.stg_mag_header,doc_per_dc,bpchar,11
etl.ext_stg_mag_data_feed,col12,varchar,etl.stg_mag_header,doc_dscr,varchar,12
etl.ext_stg_mag_data_feed,col13,text,etl.stg_mag_header,doc_actu_am,"numeric(16,2)",13
etl.ext_stg_mag_data_feed,col14,varchar,etl.stg_mag_header,ord_tot_am,"numeric(16,2)",14
etl.ext_stg_mag_data_feed,col15,varchar,etl.stg_mag_header,doc_clsd_am,"numeric(16,2)",15
etl.ext_stg_mag_data_feed,col16,varchar,etl.stg_mag_header,po_repl_doc_cd,varchar,16
etl.ext_stg_mag_data_feed,col17,varchar,etl.stg_mag_header,po_repl_id,varchar,17
etl.ext_stg_mag_data_feed,col18,varchar,etl.stg_mag_header,po_repl_by_dept_cd,varchar,18
etl.ext_stg_mag_data_feed,col19,varchar,etl.stg_mag_header,po_repl_by_id,varchar,19
etl.ext_stg_mag_data_feed,col20,varchar,etl.stg_mag_header,cntrc_sta,int,20
etl.ext_stg_mag_data_feed,col21,varchar,etl.stg_mag_header,prcu_id,varchar,21
etl.ext_stg_mag_data_feed,col22,varchar,etl.stg_mag_header,prcu_typ_nm,varchar,22
etl.ext_stg_mag_data_feed,col23,varchar,etl.stg_mag_header,prcu_typ_id,int,23
etl.ext_stg_mag_data_feed,col24,varchar,etl.stg_mag_header,cited_auth,varchar,24
etl.ext_stg_mag_data_feed,col25,varchar,etl.stg_mag_header,efbgn_dt,date,25
etl.ext_stg_mag_data_feed,col26,varchar,etl.stg_mag_header,efend_dt,date,26
