data_source_code,directory_listing_pattern,actual_pattern,standard_file_name
A,_COA_DEPT_,AIEE_DLY_COA_DEPT_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9].txt,COA_agency_feed.txt
D,_COA_APPR_,AIE7_DLY_COA_APPR_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9].txt,COA_department_feed.txt
E,_COA_OBJ_,AIE8_DLY_COA_OBJ_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9].txt,COA_expenditure_object_feed.txt
L,_COA_LOC_,AIE9_DLY_COA_LOC_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9].txt,COA_location_object_feed.txt
O,_COA_OCLS_,AIEA_DLY_COA_OCLS_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9].txt,COA_object_class_feed.txt
V,_VEND_,AIE6_DLY_VEND_BTYP_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9].txt,FMSV_feed.txt
M,_MA_,AIE((2_DLY_PCO)|(F_DLY_PCOP))_MA_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9].txt,MAG_feed.txt
C,_PO_,AIE((2_DLY_PCO)|(F_DLY_PCOP))_PO_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9].txt,CON_feed.txt
F,_MMDSB,AIE((0_DLY_MMDSB)|(1_DLY_MMDSBP))_((AD)|(MD))_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9].txt,FMS_feed.txt
P,PAYROLL_A,PAYROLL_AREI_%_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9].txt,PMS_feed.txt
B,_BUD_92L3_,AIE3_DLY_BUD_92L3_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9].txt,BUDGET_feed.txt
RY,_COA_RSCAT_,AIEC_DLY_COA_RSCAT_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9].txt,COA_revenue_category_feed.txt
RC,_COA_RSCLS_,AIEC_DLY_COA_RSCLS_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9].txt,COA_revenue_class_feed.txt
RS,_COA_RSRC_,AIEB_DLY_COA_RSRC_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9].txt,COA_revenue_source_feed.txt
BC,_COA_FUNCATTR_,AIED_DLY_COA_FUNCATTR_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9].txt,COA_budget_code_feed.txt
R,_JL_REV_,AIE5_DLY_JL_REV_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9].txt,Revenue_feed.txt
FC,_COA_RSFCLS_,AIEC_DLY_COA_RSFCLS_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9].txt,COA_funding_class_feed.txt
PC,checkbookpendingcontracts,checkbookpendingcontracts.txt,OAISIS_feed.txt
RB,_BUD_93L1_,AIE4_DLY_BUD_93L1_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9].txt,revenue_budget.txt
PS,PAYROLL_SUMMARY_A,PAYROLL_SUMMARY_AREI_%_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9].txt,PMS_summary_feed.txt
ED,NYCEDC_CheckBook_,NYCEDC_CheckBook_[0-1][0-9]_[0-3][0-9]_20[0-9][0-9]_[0-2][0-9]_[0-5][0-9]_[0-5][0-9].csv,EDC_feed.csv
TD,TDC_CONTRACT_,TDC_CONTRACT_DATA_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9].csv,TDC_feed.csv
