Data Source Name,Data File Name,Total Records Received,Total Records Staged,Total Malformed Records,Total Invalid Records,Total Records Inserted in Transaction Tables,Total Records Updated in Transaction Tables
COAAgency,AIEE_DLY_COA_DEPT_20130605010803.txt, 217.0, 217.0, 0.0, 0.0, 0.0, 0.0
COAExpenditureObject,AIE8_DLY_COA_OBJ_20130605010942.txt, 18011.0, 18011.0, 0.0, 0.0, 0.0, 0.0
COARevenueCategory,AIEC_DLY_COA_RSCAT_20130605011020.txt, 35.0, 35.0, 0.0, 0.0, 0.0, 0.0
COADepartment,AIE7_DLY_COA_APPR_20130605010809.txt, 387618.0, 387618.0, 0.0, 0.0, 0.0, 0.0
COAObjectClass,AIEA_DLY_COA_OCLS_20130605011026.txt, 472.0, 472.0, 0.0, 0.0, 0.0, 0.0
COALocation,AIE9_DLY_COA_LOC_20130605010953.txt, 22147.0, 22147.0, 0.0, 0.0, 1.0, 4.0
FMSV,AIE6_DLY_VEND_BTYP_20130605010804.txt, 15634.0, 15634.0, 0.0, 0.0, 15634.0, 0.0
COARevenueClass,AIEC_DLY_COA_RSCLS_20130605011020.txt, 299.0, 299.0, 0.0, 0.0, 0.0, 0.0
FundingClass,AIEC_DLY_COA_RSFCLS_20130605011020.txt, 285.0, 285.0, 0.0, 0.0, 0.0, 0.0
COABudgetCode,AIED_DLY_COA_FUNCATTR_20130605010803.txt, 253662.0, 253662.0, 0.0, 0.0, 7.0, 619.0
COARevenueSource,AIEB_DLY_COA_RSRC_20130605010939.txt, 110480.0, 110480.0, 0.0, 0.0, 2.0, 0.0
Revenue,AIE5_DLY_JL_REV_20130605010821.txt, 2391.0, 2391.0, 0.0, 0.0, 2391.0, 0.0
RevenueBudget,AIE4_DLY_BUD_93L1_20130605010815.txt, 392.0, 392.0, 0.0, 0.0, 0.0, 392.0
MAG,AIE2_DLY_PCO_MA_20130605010803.txt, 176.0, 176.0, 0.0, 0.0, 36.0, 140.0
Budget,AIE3_DLY_BUD_92L3_20130605010804.txt, 2369.0, 2369.0, 0.0, 0.0, 3.0, 2366.0
CON,AIE2_DLY_PCO_PO_20130605010803.txt, 11514.0, 11514.0, 0.0, 0.0, 2763.0, 8751.0
PMSSummary,PAYROLL_SUMMARY_AREI_BEDVI680_ACCT_20130605185710.txt, 33.0, 33.0, 0.0, 0.0, 33.0, 0.0
PendingContracts,checkbookpendingcontracts.txt, 864.0, 864.0, 0.0, 0.0, 864.0, 0.0
FMS,AIE1_DLY_MMDSBP_AD_20130605010803.txt, 2556.0, 2556.0, 0.0, 0.0, 2556.0, 0.0
FMS,AIE0_DLY_MMDSB_AD_20130605010803.txt, 6012.0, 6012.0, 0.0, 0.0, 6012.0, 0.0
PMS,PAYROLL_AREI_XGDVI680_PYRL_20130325121827.txt, 7487.0, 7487.0, 0.0, 0.0, 7487.0, 0.0
PMS,PAYROLL_AREI_XPDVI680_PYRL_20130325121801.txt, 173611.0, 173611.0, 0.0, 0.0, 173611.0, 0.0
PMS,PAYROLL_AREI_BRDVI680_PYRL_20130325182311.txt, 961.0, 961.0, 0.0, 0.0, 961.0, 0.0
