Data Source Name,Data File Name,Total Records Received,Total Records Staged,Total Malformed Records,Total Invalid Records,Total Records Inserted in Transaction Tables,Total Records Updated in Transaction Tables
COAAgency,AIEE_DLY_COA_DEPT_20140405205753.txt, 217.0, 217.0, 0.0, 0.0, 0.0, 0.0
COAExpenditureObject,AIE8_DLY_COA_OBJ_20140405205943.txt, 18020.0, 18020.0, 0.0, 0.0, 0.0, 0.0
COARevenueCategory,AIEC_DLY_COA_RSCAT_20140405210004.txt, 38.0, 38.0, 0.0, 0.0, 0.0, 0.0
COADepartment,AIE7_DLY_COA_APPR_20140405205803.txt, 401664.0, 401663.0, 0.0, 1.0, 0.0, 0.0
COAObjectClass,AIEA_DLY_COA_OCLS_20140405210010.txt, 481.0, 481.0, 0.0, 0.0, 0.0, 0.0
COALocation,AIE9_DLY_COA_LOC_20140405205954.txt, 22535.0, 22535.0, 0.0, 0.0, 0.0, 0.0
FMSV,AIE6_DLY_VEND_BTYP_20140405205753.txt, 16030.0, 16027.0, 0.0, 3.0, 16027.0, 0.0
FundingClass,AIEC_DLY_COA_RSFCLS_20140405210004.txt, 285.0, 285.0, 0.0, 0.0, 0.0, 0.0
COARevenueClass,AIEC_DLY_COA_RSCLS_20140405210004.txt, 304.0, 304.0, 0.0, 0.0, 0.0, 0.0
COABudgetCode,AIED_DLY_COA_FUNCATTR_20140405205753.txt, 258306.0, 258306.0, 0.0, 0.0, 3.0, 22.0
COARevenueSource,AIEB_DLY_COA_RSRC_20140405205925.txt, 110694.0, 110694.0, 0.0, 0.0, 0.0, 0.0
Revenue,AIE5_DLY_JL_REV_20140405205814.txt, 7.0, 7.0, 0.0, 0.0, 7.0, 0.0
Revenue,AIE5_DLY_JL_REV_20140405005751.txt, 5074.0, 5074.0, 0.0, 0.0, 5074.0, 0.0
RevenueBudget,AIE4_DLY_BUD_93L1_20140405205808.txt, 2.0, 2.0, 0.0, 0.0, 0.0, 2.0
RevenueBudget,AIE4_DLY_BUD_93L1_20140405005745.txt, 297.0, 297.0, 0.0, 0.0, 1.0, 296.0
MAG,AIE2_DLY_PCO_MA_20140405005732.txt, 431.0, 431.0, 0.0, 0.0, 13.0, 418.0
MAG,AIE2_DLY_PCO_MA_20140405205753.txt, 35.0, 35.0, 0.0, 0.0, 0.0, 35.0
Budget,AIE3_DLY_BUD_92L3_20140405205753.txt, 10562.0, 10562.0, 0.0, 0.0, 34.0, 10528.0
Budget,AIE3_DLY_BUD_92L3_20140405005732.txt, 2374.0, 2374.0, 0.0, 0.0, 24.0, 2350.0
PMSSummary,PAYROLL_SUMMARY_AREI_XPDVI680_ACCT_20140405150208.txt, 10841.0, 10841.0, 0.0, 0.0, 10841.0, 0.0
PMSSummary,PAYROLL_SUMMARY_AREI_XGDVI680_ACCT_20140405174919.txt, 562.0, 562.0, 0.0, 0.0, 562.0, 0.0
PendingContracts,checkbookpendingcontracts.txt, 737.0, 737.0, 0.0, 0.0, 737.0, 0.0
FMS,AIE1_DLY_MMDSBP_AD_20140405005732.txt, 179.0, 179.0, 0.0, 0.0, 179.0, 0.0
FMS,AIE0_DLY_MMDSB_AD_20140405005732.txt, 2413.0, 2413.0, 0.0, 0.0, 2413.0, 0.0
FMS,AIE0_DLY_MMDSB_MD_20140405005732.txt, 2.0, 2.0, 0.0, 0.0, 2.0, 0.0
PMS,PAYROLL_AREI_XGDVI680_PYRL_20140405174923.txt, 8133.0, 8133.0, 0.0, 0.0, 8133.0, 0.0
PMS,PAYROLL_AREI_XPDVI680_PYRL_20140405150213.txt, 173474.0, 173474.0, 0.0, 0.0, 173474.0, 0.0
