Data Source Name,Data File Name,Is Consumed,Is Processed
COAExpenditureObject,AIE8_DLY_COA_OBJ_20140405205943.txt,Y,Y
COAAgency,AIEE_DLY_COA_DEPT_20140405005732.txt,N,N
COAExpenditureObject,AIE8_DLY_COA_OBJ_20140405005920.txt,N,N
COAAgency,AIEE_DLY_COA_DEPT_20140405205753.txt,Y,Y
COABudgetCode,AIED_DLY_COA_FUNCATTR_20140405005732.txt,N,N
COADepartment,AIE7_DLY_COA_APPR_20140405005739.txt,N,N
COARevenueCategory,AIEC_DLY_COA_RSCAT_20140405210004.txt,Y,Y
COAObjectClass,AIEA_DLY_COA_OCLS_20140405005952.txt,N,N
COALocation,AIE9_DLY_COA_LOC_20140405205954.txt,Y,Y
COAObjectClass,AIEA_DLY_COA_OCLS_20140405210010.txt,Y,Y
COALocation,AIE9_DLY_COA_LOC_20140405005931.txt,N,N
COADepartment,AIE7_DLY_COA_APPR_20140405205803.txt,Y,Y
FundingClass,AIEC_DLY_COA_RSFCLS_20140405210004.txt,Y,Y
COABudgetCode,AIED_DLY_COA_FUNCATTR_20140405205753.txt,Y,Y
FMSV,AIE6_DLY_VEND_BTYP_20140405205753.txt,Y,Y
COARevenueClass,AIEC_DLY_COA_RSCLS_20140405005945.txt,N,N
FundingClass,AIEC_DLY_COA_RSFCLS_20140405005945.txt,N,N
FMSV,AIE6_DLY_VEND_BTYP_20140405005732.txt,N,N
COARevenueClass,AIEC_DLY_COA_RSCLS_20140405210004.txt,Y,Y
COARevenueCategory,AIEC_DLY_COA_RSCAT_20140405005945.txt,N,N
COARevenueSource,AIEB_DLY_COA_RSRC_20140405005904.txt,N,N
COARevenueSource,AIEB_DLY_COA_RSRC_20140405205925.txt,Y,Y
RevenueBudget,AIE4_DLY_BUD_93L1_20140405005745.txt,Y,Y
Revenue,AIE5_DLY_JL_REV_20140405205814.txt,Y,Y
Budget,AIE3_DLY_BUD_92L3_20140405005732.txt,Y,Y
RevenueBudget,AIE4_DLY_BUD_93L1_20140405205808.txt,Y,Y
MAG,AIE2_DLY_PCO_MA_20140405205753.txt,Y,Y
Budget,AIE3_DLY_BUD_92L3_20140405205753.txt,Y,Y
MAG,AIE2_DLY_PCO_MA_20140405005732.txt,Y,Y
Revenue,AIE5_DLY_JL_REV_20140405005751.txt,Y,Y
CON,AIE2_DLY_PCO_PO_20140405005732.txt,Y,C
CON,AIE2_DLY_PCO_PO_20140405205753.txt,Y,C
CON,AIE2_DLY_PCO_PO_20140404005848.txt,Y,E
PMSSummary,PAYROLL_SUMMARY_AREI_XGDVI680_ACCT_20140405174919.txt,Y,Y
FMS,AIE0_DLY_MMDSB_AD_20140405005732.txt,Y,Y
FMS,AIE1_DLY_MMDSBP_AD_20140405005732.txt,Y,Y
PMS,PAYROLL_AREI_XPDVI680_PYRL_20140405150213.txt,Y,Y
PendingContracts,checkbookpendingcontracts.txt,Y,Y
PMS,PAYROLL_AREI_XGDVI680_PYRL_20140405174923.txt,Y,Y
PMSSummary,PAYROLL_SUMMARY_AREI_XPDVI680_ACCT_20140405150208.txt,Y,Y
FMS,AIE0_DLY_MMDSB_MD_20140405005732.txt,Y,Y
