042|850|2002|214|ADD DEPARTMENT 15|||ADD_DEPT_15|||||||||||||
841|850|2009|549|TCD DEPARTMENT 2842|||TCD_DEPT_2842|||||||||||||
072|852|2008|239|MID5 DEPARTMENT 119|||MID5_DEPT_119|||||||||||||
072|400|1999|239|MID5 DEPARTMENT 119|||MID5_DEPT_119|||||||||||||
072|400|1998|239|MID5 DEPARTMENT 119|||MID5_DEPT_119|||||||||||||
072|853|2013|239|MID5 DEPARTMENT 119|||MID5_DEPT_119|||||||||||||
072|850|2007|239|MID5 DEPARTMENT 119|||MID5_DEPT_119|||||||||||||
072|400|1978|239|MID5 DEPARTMENT 119|||MID5_DEPT_119|||||||||||||
102|001|2005|880|ASM DEPARTMENT 187|||ASM_DEPT_187|||||||||||||
102|001|1999|880|ASM DEPARTMENT 187|||ASM_DEPT_187|||||||||||||
126|850|2012|K05|CRD DEPARTMENT 488|||CRD_DEPT_488|||||||||||||
126|400|2011|K05|CRD DEPARTMENT 488|||CRD_DEPT_488|||||||||||||
126|853|2011|K05|CRD DEPARTMENT 488|||CRD_DEPT_488|||||||||||||
126|853|2012|K05|CRD DEPARTMENT 488|||CRD_DEPT_488|||||||||||||
126|400|1994|K05|CRD DEPARTMENT 488|||CRD_DEPT_488|||||||||||||
126|850|2006|K05|CRD DEPARTMENT 488|||CRD_DEPT_488|||||||||||||
806|400|2011|A26|MID1 DEPARTMENT 874|||MID1_DEPT_874|||||||||||||
806|400|2013|B36|MID1 DEPARTMENT 1047|||MID1_DEPT_1047|||||||||||||
819|853|2005|326|SAM DEPARTMENT 1364|||SAM_DEPT_1364|||||||||||||
819|400|2004|326|SAM DEPARTMENT 1364|||SAM_DEPT_1364|||||||||||||
819|400|1992|326|SAM DEPARTMENT 1364|||SAM_DEPT_1364|||||||||||||
819|850|2012|326|SAM DEPARTMENT 1364|||SAM_DEPT_1364|||||||||||||
819|850|2011|326|SAM DEPARTMENT 1364|||SAM_DEPT_1364|||||||||||||
819|850|2002|326|SAM DEPARTMENT 1364|||SAM_DEPT_1364|||||||||||||
826|853|2012|351|MID3 DEPARTMENT 1593|||MID3_DEPT_1593|||||||||||||
826|850|2012|351|MID3 DEPARTMENT 1593|||MID3_DEPT_1593|||||||||||||
826|400|2009|351|MID3 DEPARTMENT 1593|||MID3_DEPT_1593|||||||||||||
826|852|2013|351|MID3 DEPARTMENT 1593|||MID3_DEPT_1593|||||||||||||
826|400|2003|351|MID3 DEPARTMENT 1593|||MID3_DEPT_1593|||||||||||||
826|852|2002|351|MID3 DEPARTMENT 1593|||MID3_DEPT_1593|||||||||||||
826|400|1983|351|MID3 DEPARTMENT 1593|||MID3_DEPT_1593|||||||||||||
