fiscal_year,civilian_labor_force_new_york_city_employed,civilian_labor_force_unemployed ,unemployment_rate_city_precent,unemployment_rate_united_states_percent
1994,2990,285,8.7,6.1
1995,3004,267,8.2,5.6
1996,3086,297,8.8,5.4
1997,3188,331,9.4,4.9
1998,3292,287,8,4.5
1999,3351,240,6.7,4.2
2000,3516,212,5.7,4
2001,3452,222,6.1,4.7
2002,3429,300,8.1,5.8
2003,3414,308,8.3,6
2004,3469,263,7.1,5.5
2005,3540,217,5.8,5.1
2006,3630,190,5,4.6
2007,3674,190,4.9,4.6
2008,3698,214,5.5,5.8
2009,3602,367,9.2,9.3
2010,3580,379,9.6,9.6
2011,3596,354,9.1,8.9
2012,3632,370,9.3,8.1
