fiscal_year,general_bonded_debt,debt_by_revenue_ot_prop_tax,general_obligation_bonds,percentage_atcual_taxable_property,per_capita_general_obligations
1995,,,24.992,32.54,3274
1996,,,26627,34.39,3459
1997,,,27549,35.54,3544
1998,,,27310,34.67,3475
1999,,,27834,33.88,3502
2000,,,27245,31.73,3398
2001,,,27147,29.97,3370
2002,,,28465,29.2,3517
2003,,,29679,28.9,3652
2004,47971,16593,31378,29.38,3901
2005,52032,18335,33697,30.55,4205
2006,53200,17732,35468,28.96,4437
2007,56281,22016,34265,26.85,4276
2008,58058,22310,35748,24.55,4431
2009,63816,24165,39651,26.09,4876
2010,70882,29793,41089,26.01,5017
2011,72903,31677,41226,25.82,4955
2012,77540,36191,41349,26.18,4955
2013,80635,40456,40179,24.3,4780
2014,82701,39459,43242,24.58,5144
